created_at	id	text	source	user	is_quote_status	retweet_count	favorite_count	entities	favorited	retweeted	filter_level
Fri Jun 02 00:21:44 +0000 2017	870435226144706564	RT @LearnEnglish9: u0627u0644u0635u062du0629 Health (u0647u064au0644u062b) u0627u0644u0639u0642u0644u064au0629 Mental (u0645u064au0646u062au0644) u062au0639u0644u0645 Learn (u0644u064au0631u0646) u0627u0644u0646u0633u064au0627u0646 forgetting(u0641u0648u0631u0642u064au062au0646u0642) u0639u0627u0637u0641u064au0629 Emotional (u0627u064au0645u0648u0634u0648u0646u2026 	u003ca href=http://twitter.com/download/android rel=nofollowu003eTwitter for Androidu003c/au003e	855857538348314626	True	0	0	{'hashtags': [], 'urls': [{'url': '', 'expanded_url': None, 'indices': [136, 136]}], 'user_mentions': [{'screen_name': 'LearnEnglish9', 'name': 'English u2661 u0645u0639u0644u0645 u0625u0646u0642u0644u0634', 'id': 521426983, 'id_str': '521426983', 'indices': [3, 17]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:44 +0000 2017	870435227428147202	RT @matt_digs: It's called mental health awareness month. It's in May and you should probably aware of the mental illness that youu2026 	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	505148329	True	0	0	{'hashtags': [], 'urls': [{'url': '', 'expanded_url': None, 'indices': [132, 132]}], 'user_mentions': [{'screen_name': 'matt_digs', 'name': 'disappoint pleasant', 'id': 983594569, 'id_str': '983594569', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:45 +0000 2017	870435229432913920	@LindaSuhler You're so right, Obama's Legacy was depression, and Fear.  Hard to remember to thank God I'm suckin aiu2026 https://t.co/tyku30Fyvg	u003ca href=http://twitter.com rel=nofollowu003eTwitter Web Clientu003c/au003e	2317921519	False	0	0	{'hashtags': [], 'urls': [{'url': 'https://t.co/tyku30Fyvg', 'expanded_url': 'https://twitter.com/i/web/status/870435229432913920', 'display_url': 'twitter.com/i/web/status/8u2026', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'LindaSuhler', 'name': 'Linda Suhler, Ph.D.', 'id': 347627434, 'id_str': '347627434', 'indices': [0, 12]}], 'symbols': []}	False	False	low
Fri Jun 02 00:05:55 +0000 2017	870431247012700160	RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and sociu2026 	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	2787685798	False	0	0	{'hashtags': [], 'urls': [{'url': '', 'expanded_url': None, 'indices': [132, 132]}], 'user_mentions': [{'screen_name': 'GIRLposts', 'name': 'Common White Girl', 'id': 132774626, 'id_str': '132774626', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:46 +0000 2017	870435234826924033	RT @memetribute: me trying to better my mental health https://t.co/roAxNDwIbE	u003ca href=http://twitter.com/download/android rel=nofollowu003eTwitter for Androidu003c/au003e	800738839	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'memetribute', 'name': 'memes', 'id': 715339913516883969, 'id_str': '715339913516883969', 'indices': [3, 15]}], 'symbols': [], 'media': [{'id': 849436680696328192, 'id_str': '849436680696328192', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/849436680696328192/pu/img/XU4uSKrnfTpeWYek.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/849436680696328192/pu/img/XU4uSKrnfTpeWYek.jpg', 'url': 'https://t.co/roAxNDwIbE', 'display_url': 'pic.twitter.com/roAxNDwIbE', 'expanded_url': 'https://twitter.com/Dory/status/849436707875418113/video/1', 'type': 'photo', 'sizes': {'small': {'w': 340, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 404, 'h': 718, 'resize': 'fit'}, 'large': {'w': 404, 'h': 718, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 849436707875418113, 'source_status_id_str': '849436707875418113', 'source_user_id': 1187647735, 'source_user_id_str': '1187647735'}]}	False	False	low
Fri Jun 02 00:21:47 +0000 2017	870435238547042304	My depression is starting to take control of me ud83dude29ud83dude21ud83dude12	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	1449977136	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}	False	False	low
Fri Jun 02 00:21:47 +0000 2017	870435239256092672	RT @lifeaseva: Can we all stop treating anxiety like it's a choice and something cool to have thank you	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	765209692704563200	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'lifeaseva', 'name': 'Eva Gutowski', 'id': 1079108184, 'id_str': '1079108184', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:47 +0000 2017	870435240271073280	RT @LightSkinHenz: Depression sneaking back into my life https://t.co/PAkDYa6zXO	u003ca href=http://twitter.com/download/android rel=nofollowu003eTwitter for Androidu003c/au003e	701212111481901056	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'LightSkinHenz', 'name': 'RJ Heinz', 'id': 324714087, 'id_str': '324714087', 'indices': [3, 17]}], 'symbols': [], 'media': [{'id': 870432894354948097, 'id_str': '870432894354948097', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DBRmGwzXgAErrGE.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DBRmGwzXgAErrGE.jpg', 'url': 'https://t.co/PAkDYa6zXO', 'display_url': 'pic.twitter.com/PAkDYa6zXO', 'expanded_url': 'https://twitter.com/LightSkinHenz/status/870432908686884864/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 498, 'h': 298, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 340, 'h': 203, 'resize': 'fit'}, 'large': {'w': 498, 'h': 298, 'resize': 'fit'}}, 'source_status_id': 870432908686884864, 'source_status_id_str': '870432908686884864', 'source_user_id': 324714087, 'source_user_id_str': '324714087'}]}	False	False	low
Fri Jun 02 00:21:48 +0000 2017	870435241470644228	@katie_honan it's worst of course. The anxiety is messing with my tenses.	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	70279712	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'katie_honan', 'name': 'katie honan', 'id': 70279712, 'id_str': '70279712', 'indices': [0, 12]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:48 +0000 2017	870435242779299840	RT @SincerelyTumblr: when you are trying to fight paranoia, depression, dissociation while attempting to balance meaningful relationships hu2026	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	841953228245868544	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'SincerelyTumblr', 'name': 'Sincerely Tumblr', 'id': 226690054, 'id_str': '226690054', 'indices': [3, 19]}], 'symbols': []}	False	False	low
